Neighborhood,"Grade 6 Reading/English, 2011 (CMSD)","Grade 6 Math, 2011 (CMSD)","Grade 7 Reading/English, 2011 (CMSD)","Grade 7 Math, 2011 (CMSD)","Grade 8 English, 2011 (CMSD)","Grade 8 Math, 2011 (CMSD)","Grade 4 Reading/English, 2011 (CMSD)","Grade 4 Math, 2011 (CMSD)","Grade 5 Reading/English, 2011 (CMSD)","Grade 5 Math, 2011 (CMSD)",3rd Grade English 2011,3rd Grade Math 2011,"OGT 10th Grade-Reading, 2011 (CMSD)","OGT 10th Grade-Writing, 2011 (CMSD)","OGT 10th Grade-Math, 2011 (CMSD)","OGT 10th Grade-Social Studies, 2011 (CMSD)","OGT 10th Grade-Science, 2011 (CMSD)","OGT 11th Grade Reading, 2011 (CMSD)","OGT 11th Grade Writing, 2011 (CMSD)","OGT 11th Grade Math, 2011 (CMSD)","OGT 11th Grade Social Studies, 2011 (CMSD)","OGT 11th Grade Science, 2011 (CMSD)"
 Bellaire-Puritas,74.77,53.27,50,53.49,78.41,69.32,66.29,53.93,53.27,43.93,56.52,63.95,72.73,80.77,62.03,58.44,50.63,33.33,,36.36,14.29,28.57
 Broadway-Slavic Village,51.87,22.99,30.1,21.83,47.47,20.75,41.79,25.87,33.33,22.22,49.74,45.7,61.46,74.74,53.13,38.62,34.9,15.63,28,15.91,28.26,18.33
 Brooklyn Centre,63.53,47.06,61.04,61.04,68.93,56.31,76.32,64.94,43.96,29.67,49.52,58.16,65.43,74.07,56.63,43.9,40.74,46.15,27.27,28.57,16.67,17.39
 Buckeye-Shaker Square,66.07,37.5,42,22,75.51,46.94,56.86,43.14,29.17,16.67,51.11,46.51,66.15,70.97,63.49,54.69,53.03,13.33,21.43,24,7.41,16.13
 Buckeye-Woodhill,60.66,42.62,46.15,34.62,65,34.48,50.72,27.54,37.5,18.75,34.78,39.71,45.16,58.06,40.32,32.81,29.69,0,8.33,5.88,23.08,12.5
 Central,48.51,27.61,30.08,26.45,58.51,24.47,40.88,29.93,32.61,16.79,51.38,41.57,53.85,57.14,43.18,34.83,23.33,5.26,23.81,6.45,9.68,17.65
 Clark-Fulton,55.17,44.19,37.36,37.36,61.46,48.42,66.67,52.56,43.56,29,41.67,51.65,58.23,61.25,46.91,38.75,32.53,25,28.57,22.73,28,12.9
 Collinwood-Nottingham,55.29,36.9,35.92,37.86,65.82,36.71,53.01,30.12,35.29,10.59,35.85,40.4,64.65,72.63,52.53,44.55,36.54,20,23.08,10,8.82,13.46
 Cudell,70.87,60.19,56.76,47.3,63.95,47.67,60.49,46.91,47.19,40.45,53.85,68.6,60.47,77.01,55.81,40.48,40.45,26.09,25,26.92,16.67,6.67
 Cuyahoga Valley,,,,,,,,,,,,,,,,,,,,,,
 Detroit Shoreway,72.48,54.63,50,56,63.64,47.73,57.41,50.93,47.71,34.86,54.81,58.59,63.95,69.66,52.75,43.82,35.16,7.69,18.75,21.74,11.76,10
 Downtown,,,,,,,50,40,,,,,,,,,,,,,,
 Edgewater,82.35,70.59,64.29,50,68.75,50,92.59,81.48,88.89,83.33,76,87.5,81.82,72.73,81.82,81.82,63.64,,,,,
 Euclid-Green,55.56,7.41,44.12,32.35,44,12.5,72.41,62.07,39.13,21.74,53.33,40.74,70,87.18,57.5,53.66,40,,,,,
 Fairfax,49.02,43.14,44.64,35.71,57.45,31.25,51.02,22.45,25.49,13.73,46.3,60.78,58.73,69.84,57.14,44.44,34.38,25,25,30.43,16.67,7.14
 Glenville,51.98,31.75,44.86,40.33,51.79,24.7,55.6,34.02,37.3,18.25,50,49.56,59.86,72.86,50.34,50,38.83,28.3,34,8.45,13.64,18.75
 Goodrich-Kirtland Pk,55.56,42.11,50,37.93,68.75,68.75,71.43,42.86,50,50,46.15,56,57.89,68.42,63.16,31.58,15.79,,,,,
 Hopkins,,,,,,,,,,,,,,,,,,,,,,
 Hough,53.39,35.59,42.45,39.62,42.11,24.78,63.11,50.82,39.5,28.57,60,62.5,42.17,59.04,45.68,36.14,29.27,20,25,20,17.95,10.42
 Jefferson,74.53,50,62.6,57.25,75.2,54.4,74.22,65.63,54.48,50.38,66.97,71,70.54,75.23,58.04,52.73,47.75,15.79,32,20,18.18,20.69
 Kamm's,76.07,62.93,68.42,76.84,72.95,62.81,75.19,71.43,60.83,50,71.13,81.02,59.46,65.75,53.52,43.06,43.66,30,7.69,8.33,20,12.5
 Kinsman,44.68,25.53,43.4,32.69,49.28,38.24,39.66,44.64,25.45,31.48,47.69,60.94,53.62,63.24,48.53,33.33,26.87,13.64,25,18.52,12,10.34
 Lee-Harvard,72.31,42.42,55,43.75,60.24,33.73,59.21,47.37,32.89,14.47,48.1,52.7,62.07,76.19,54.65,46.51,40.7,46.15,54.55,33.33,15.79,20.59
 Lee-Seville,74.36,41.03,48.65,24.32,61.29,38.71,65.79,48.72,50.98,31.37,54.84,70,57.78,70.45,44.44,39.53,39.13,50,,7.14,18.75,8
 Mount Pleasant,62.41,41.67,37.09,28.67,53.69,34.23,56.74,38.73,25.66,15.13,46.43,46.62,58.05,73.6,47.55,38.38,33.5,32.43,30,19.64,12.07,10.39
 North Shore Collinwood,64.84,48.35,59.8,51.96,69.51,46.91,57.69,37.18,42.67,30.67,52.17,70.45,63.22,69.88,58.62,48.24,48.28,16.67,,16.67,13.33,16
 Ohio City,47.62,30.95,46.81,52.17,66.67,48.65,54.9,45.1,51.79,26.79,58.73,63.93,56,64,50.98,30.77,26,,,9.09,10,14.29
 Old Brooklyn,82.07,62.84,56.41,60.51,75.24,52.2,77.11,69.28,64.25,41.9,67.52,67.53,75.12,79.61,65.4,58.29,54.55,29.17,34.62,7.41,17.65,26.83
 St.Clair-Superior,65.12,55.81,30.43,24.64,51.47,17.91,52.83,37.74,13.64,16.67,48.21,59.26,56.98,63.95,33.33,26.44,18.89,15.38,9.09,15.38,0,13.04
 Stockyards,71.19,61.86,53.78,59.66,67.77,54.47,72.13,59.02,34.86,37.61,57.14,61.11,64.52,73.91,52.69,50.54,38.95,46.15,,23.53,21.05,20
 Tremont,64.52,48.39,45.16,42.86,58.82,44.9,42.42,36.92,44.29,19.72,52.94,46.94,79.41,87.1,72.73,57.58,45.45,,,,,0
 Union-Miles,55.81,38.6,40,31.67,52.88,26.57,47.57,42.16,32.16,19.3,36.65,41.89,62.44,70.53,49.32,40.47,32.72,29.82,47.17,16.67,17.33,18.87
 University,,,,,,,,,,,,,,,,,,,,,,
 West Boulevard,63.13,44.95,57.56,53.8,73.58,54.09,69.06,60.22,53.01,36.75,58.99,66.86,65.64,73.29,52.15,44.51,40.99,26.47,29.73,17.39,15.56,13.11
 _Unknown neighborhood,53.33,40,51.72,35.71,66.67,29.17,39.47,26.32,29.03,16.13,52.78,42.86,58.62,70.37,45.16,50,39.29,,,9.09,,0
_Suburb,57.14,42.86,49.21,47.62,61.05,36.84,63.33,47.78,46.25,30,55.32,65.06,72.61,78.71,64.52,55.77,49.35,17.39,21.05,17.14,17.95,18.87