County,Neighborhood,3rd Grade English 2016,3rd Grade Math 2016,3rd Grade English 2015,3rd Grade Math 2015,3rd Grade English 2014,3rd Grade Math 2014,3rd Grade English 2013,3rd Grade Math 2013,3rd Grade English 2012,3rd Grade Math 2012,3rd Grade English 2011,3rd Grade Math 2011,3rd Grade English 2010,3rd Grade Math 2010
Cuyahoga, Bellaire-Puritas,19.28,41.03,65.22,49.44,70.59,65.38,75.32,68.83,64.52,64.52,56.52,63.95,52.13,62.22
Cuyahoga, Broadway-Slavic Village,12.57,22.36,33.52,17.47,39.08,33.94,47.17,37.74,35.76,25.45,49.74,45.7,40.64,34.91
Cuyahoga, Brooklyn Centre,14.94,26.19,59.78,42.53,46.91,50,54.35,55.43,62.73,52.73,49.52,58.16,59.09,61.25
Cuyahoga, Buckeye-Shaker Square,17.78,14.63,32,29.17,50,36,50,58.82,50,51.79,51.11,46.51,50,38.98
Cuyahoga, Buckeye-Woodhill,15.79,13.73,39.34,18.03,41.86,40.48,38.3,50,42.19,32.81,34.78,39.71,39.19,28.17
Cuyahoga, Central,6.32,14.36,29.61,14.38,37.21,27.2,38.85,44.6,34.13,38.16,51.38,41.57,42.21,38.51
Cuyahoga, Clark-Fulton,17.02,26.97,51.76,43.04,50,57.14,55.56,49.21,55.67,56.25,41.67,51.65,54.08,56.99
Cuyahoga, Collinwood-Nottingham,10.26,23.38,58.14,38.1,56.52,47.76,38.46,43.14,37.04,33.33,35.85,40.4,48.08,39.58
Cuyahoga, Cudell,23.47,38.3,64.42,44.9,65.59,58.24,58.54,52.44,60.67,58.43,53.85,68.6,57.3,53.49
Cuyahoga, Cuyahoga Valley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Cuyahoga, Detroit Shoreway,22.22,29.52,63.04,50,53.76,51.65,62.96,65.43,52.25,53.21,54.81,58.59,55.74,57.76
Cuyahoga, Downtown,10,23.53,35.71,35.71,46.15,-99,16.67,36.36,-99,-99,-99,-99,50,-99
Cuyahoga, Edgewater,43.75,53.33,72,68.18,78.26,90.48,81.25,87.5,73.68,78.95,76,87.5,81.82,87.88
Cuyahoga, Euclid-Green,20.51,23.68,62.5,38.89,54.29,50,51.72,37.93,67.65,70.59,53.33,40.74,55.56,65.38
Cuyahoga, Fairfax,14.71,15.15,45.24,25.64,40,33.33,51.43,42.42,56.41,35.9,46.3,60.78,50.82,42.37
Cuyahoga, Glenville,9,12.43,36.41,19,51.92,41.61,45.41,39.29,48.74,45.76,50,49.56,51.03,50.36
Cuyahoga, Goodrich-Kirtland Pk,25,31.25,38.1,47.62,41.67,54.55,47.06,52.94,55,50,46.15,56,33.33,52.94
Cuyahoga, Hopkins,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Cuyahoga, Hough,11.83,20,44.66,27,46.73,41.18,47.83,37.72,57.63,54.24,60,62.5,50.68,46.58
Cuyahoga, Jefferson,32.26,53.33,73.43,66.42,64.62,59.2,78.07,72.81,69.29,68.57,66.97,71,68.7,74.59
Cuyahoga, Kamm's,37.93,57.45,75.65,73.21,68.37,66.67,82.69,80.77,82.95,81.4,71.13,81.02,72.37,73.29
Cuyahoga, Kinsman,14.71,9.23,39.22,24.49,39.22,42.55,31.71,21.95,55.56,43.4,47.69,60.94,40.26,31.94
Cuyahoga, Lee-Harvard,10,21.21,63.08,30.65,59.32,53.7,63.29,46.15,57.5,51.9,48.1,52.7,47.25,49.41
Cuyahoga, Lee-Seville,8.82,29.03,67.65,25.81,64.29,48.15,45.45,42.42,52.38,52.38,54.84,70,76.32,55.56
Cuyahoga, Mount Pleasant,9.57,14.95,41.53,32.41,46.28,45.45,49.06,39.62,54.96,51.91,46.43,46.62,51.53,42.31
Cuyahoga, North Shore Collinwood,28.42,39.56,48.31,36.47,54.76,51.28,60,54.29,67.44,66.28,52.17,70.45,52.08,43.18
Cuyahoga, Ohio City,17.81,28.17,53.52,43.48,46.67,53.49,59.52,61.9,61.7,63.04,58.73,63.93,50.88,56.36
Cuyahoga, Old Brooklyn,21.97,38.46,61.74,45.07,64.97,66.89,75.56,73.13,72.5,82.5,67.52,67.53,67.46,68.32
Cuyahoga, St.Clair-Superior,12.28,19.64,41.51,22,55.32,52.27,56.86,61.22,57.69,55.77,48.21,59.26,53.13,38.33
Cuyahoga, Stockyards,27.42,44.63,60.83,47.75,55.91,51.14,65.91,74.71,66.02,66.67,57.14,61.11,56.64,61.31
Cuyahoga, Tremont,9.38,25.93,56,48.98,60,64.86,64.29,50.91,40,46.67,52.94,46.94,42.86,44.93
Cuyahoga, Union-Miles,10.07,14.39,43.21,27.59,45.7,46.58,45.22,24.56,50.64,42.31,36.65,41.89,40.44,41.57
Cuyahoga, University,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Cuyahoga, West Boulevard,23.12,36.65,59.87,43.54,55.83,62,58.33,52.27,67.72,65.61,58.99,66.86,54.65,62.8
Cuyahoga, _Unknown neighborhood,11.39,18.67,48.89,31.03,39.22,37.21,37.5,25,50,55,52.78,42.86,48.94,27.5
Cuyahoga,_Suburb,31.82,39.26,57.36,52.54,64.23,59.09,71.26,67.82,60,52.38,55.32,65.06,55.36,54.64