County,Neighborhood,"Grade 4 Reading/English, 2016 (CMSD)","Grade 4 Math, 2016 (CMSD)","Grade 4 Reading/English, 2015 (CMSD)","Grade 4 Math, 2015 (CMSD)","Grade 4 Reading/English, 2014 (CMSD)","Grade 4 Math, 2014 (CMSD)","Grade 4 Reading/English, 2013 (CMSD)","Grade 4 Math, 2013 (CMSD)","Grade 4 Reading/English, 2012 (CMSD)","Grade 4 Math, 2012 (CMSD)","Grade 4 Reading/English, 2011 (CMSD)","Grade 4 Math, 2011 (CMSD)","Grade 4 Reading/English, 2010 (CMSD)","Grade 4 Math, 2010 (CMSD)","Grade 5 Reading/English, 2016 (CMSD)","Grade 5 Math, 2016 (CMSD)","Grade 5 Reading/English, 2015 (CMSD)","Grade 5 Math, 2015 (CMSD)","Grade 5 Reading/English, 2014 (CMSD)","Grade 5 Math, 2014 (CMSD)","Grade 5 Reading/English, 2013 (CMSD)","Grade 5 Math, 2013 (CMSD)","Grade 5 Reading/English, 2012 (CMSD)","Grade 5 Math, 2012 (CMSD)","Grade 5 Reading/English, 2011 (CMSD)","Grade 5 Math, 2011 (CMSD)","Grade 5 Reading/English, 2010 (CMSD)","Grade 5 Math, 2010 (CMSD)",
Cuyahoga, Bellaire-Puritas,17.65,44.05,58.49,40,76.62,70.13,74.71,56.32,61.29,50.54,66.29,53.93,66.33,56.12,36.11,43.84,47.22,37.97,47.56,41.46,46.25,35,37.66,22.08,53.27,43.93,46.08,36.27,
Cuyahoga, Broadway-Slavic Village,6.62,12.41,43.12,18.52,48.1,29.11,45.06,24.69,50.83,32.6,41.79,25.87,52.04,38.46,8.4,9.92,38.89,19.18,24.34,17.65,38.41,27.88,30.05,13.47,33.33,22.22,28.79,13.13,
Cuyahoga, Brooklyn Centre,28.24,47.06,41.18,42.31,73.63,62.37,76.19,59.05,69.89,62.37,76.32,64.94,44.44,27.16,20.97,21.31,52.5,18.48,39.08,35.63,31.87,35.16,50.63,27.85,43.96,29.67,45.36,34.02,
Cuyahoga, Buckeye-Shaker Square,7.14,9.3,52,31.25,40.43,34.04,72.92,54.17,43.24,37.84,56.86,43.14,50,40.38,24.32,10.81,28.57,24.39,30.56,30.56,28.57,16.67,31.48,14.81,29.17,16.67,35.09,20.69,
Cuyahoga, Buckeye-Woodhill,13.16,15.38,57.14,31.25,51.35,37.84,40.43,19.15,38.1,26.98,50.72,27.54,52.56,44.87,20,14.71,40,22.22,22.5,27.5,25,20,32.2,11.86,37.5,18.75,43.66,25.35,
Cuyahoga, Central,11.11,10.17,43.59,16.84,29.37,21.6,46.26,28.57,46.99,29.51,40.88,29.93,56.85,36.99,15.96,16.67,17.95,13.33,11.57,19.67,28.68,19.12,34.11,13.18,32.61,16.79,24.03,17.65,
Cuyahoga, Clark-Fulton,22.54,37.68,48.94,42.11,54.55,63.64,70.83,50,47.56,40.24,66.67,52.56,51,39,21.21,20.9,28.57,37.25,38.46,34.07,35.44,32.91,50.63,27.85,43.56,29,33.68,26.32,
Cuyahoga, Collinwood-Nottingham,15.71,11.43,31.82,22.41,40.63,39.06,46.27,32.84,37.35,23.17,53.01,30.12,57.45,40.43,14.55,25.45,45.45,15.79,24.29,12.68,16.92,6.15,35.63,6.9,35.29,10.59,27.17,22.58,
Cuyahoga, Cudell,15.19,31.17,60.56,32.26,68.75,48.75,60,40,58,54.55,60.49,46.91,64.65,50.51,22.22,19.32,38.71,38.96,47.5,34.15,40.59,32.67,47.83,36.23,47.19,40.45,47.78,36.67,
Cuyahoga, Cuyahoga Valley,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
Cuyahoga, Detroit Shoreway,13.7,27.03,41.54,34.12,57.69,45.57,74.47,60.64,71.57,52.94,57.41,50.93,58.47,47.46,20,13.33,38.46,32.88,39.22,36.27,48.86,43.18,49.06,27.36,47.71,34.86,32.79,34.96,
Cuyahoga, Downtown,-99,-99,-99,20,27.27,30,-99,-99,-99,-99,50,40,-99,-99,10,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
Cuyahoga, Edgewater,52.94,70.59,80,59.09,83.33,73.68,68.75,62.5,93.33,100,92.59,81.48,84.62,76.92,40,73.33,-99,61.11,50,50,-99,-99,87.5,75,88.89,83.33,80,70,
Cuyahoga, Euclid-Green,19.35,29.03,52.17,25.93,55.56,21.43,63.33,56.67,79.17,58.33,72.41,62.07,46.15,30.77,20,17.14,-99,0,34.62,33.33,43.33,20,50,30,39.13,21.74,22.22,11.11,
Cuyahoga, Fairfax,12.9,15.15,33.33,9.09,56.25,37.5,64.52,38.71,39.22,21.57,51.02,22.45,41.67,22.03,18.52,11.11,-99,24.24,42.11,28.95,28.21,17.5,33.96,15.09,25.49,13.73,34.62,36.54,
Cuyahoga, Glenville,8.54,14.2,38.89,19.35,47.7,29.14,55.41,34.68,50.72,24.15,55.6,34.02,52.33,31.65,14.17,14.96,25.4,27.81,20.87,23.67,27.08,18.75,33.63,10.76,37.3,18.25,32.87,30.8,
Cuyahoga, Goodrich-Kirtland Pk,15.38,38.46,20,35.71,-99,-99,76.19,33.33,72.22,61.11,71.43,42.86,61.54,69.23,13.33,6.67,-99,-99,21.43,28.57,34.78,30.43,30.77,30.77,50,50,8,16,
Cuyahoga, Hopkins,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
Cuyahoga, Hough,3.7,7.32,43.86,17.11,35.35,31,69.16,44.86,53.04,40,63.11,50.82,45.71,40,6.56,13.11,25.71,19.8,22.45,25.51,38.54,17.71,41.74,15.65,39.5,28.57,27.41,16.3,
Cuyahoga, Jefferson,30.4,41.27,52.56,35.78,78.63,70.69,71.43,59.52,68.37,62.24,74.22,65.63,65.93,67.41,32.77,36.97,68,46.3,49.21,46.03,54.88,43.9,54.26,39.53,54.48,50.38,50.91,32.73,
Cuyahoga, Kamm's,27.93,39.64,61.97,53.49,82.98,74.47,78.15,67.8,78.57,71.43,75.19,71.43,77.6,73.6,39.29,37.35,69.23,52.63,61.54,55.56,58.25,54.37,69.84,55.56,60.83,50,62.73,50.91,
Cuyahoga, Kinsman,8.89,8.89,54.17,20.59,60.53,36.84,52.63,45.95,58.14,62.79,39.66,44.64,47.69,29.23,3.03,6.06,29.41,18.42,18.18,11.76,31.58,28.95,29.27,19.51,25.45,31.48,32,13.73,
Cuyahoga, Lee-Harvard,19.64,20.34,58.54,22,64.52,51.61,61.97,38.03,43.42,27.63,59.21,47.37,42.05,26.14,20.45,6.98,42.86,29.82,36.99,28.77,36.99,17.81,30,21.43,32.89,14.47,36.23,27.54,
Cuyahoga, Lee-Seville,4.55,8.7,55.56,20,51.52,33.33,44,24,38.46,20,65.79,48.72,52.5,32.5,9.09,8.7,37.5,17.14,33.33,25,37.93,24.14,53.66,21.95,50.98,31.37,43.18,27.27,
Cuyahoga, Mount Pleasant,8.82,20.59,37.84,20.73,50.59,27.06,60,37.6,45.24,34.92,56.74,38.73,47.1,37.01,12.2,8.86,36,22.5,34.29,23.58,30.25,18.49,37.4,12.2,25.66,15.13,38.36,19.86,
Cuyahoga, North Shore Collinwood,19.7,25.76,44.9,20,55.71,37.14,69.01,63.38,60.27,52.05,57.69,37.18,52.87,49.43,27.54,28.99,65.22,42.37,48,44,41.89,25.68,44.29,24.29,42.67,30.67,39.42,32.69,
Cuyahoga, Ohio City,22,19.61,39.39,34.15,81.25,62.5,64.29,45.24,67.21,59.02,54.9,45.1,53.45,43.1,23.08,15.38,26.67,25.58,37.5,30,52.83,43.4,55.93,40.68,51.79,26.79,24.07,16.67,
Cuyahoga, Old Brooklyn,29.05,37.41,63.64,41.84,76.12,69.4,84.52,66.67,81.16,71.01,77.11,69.28,74.23,64.95,38.1,21.09,65.45,37.69,54.49,46.5,53.73,47.01,75.32,57.14,64.25,41.9,63.86,46.04,
Cuyahoga, St.Clair-Superior,8.11,10.81,48.39,25,50,46.81,76,38,46.81,25.53,52.83,37.74,53.95,29.87,34.38,21.88,35.71,29.17,23.91,21.74,20,15.56,40.74,24.07,13.64,16.67,23.64,14.55,
Cuyahoga, Stockyards,24.51,38.61,56.86,40,64.13,61.96,64.04,57.3,63.27,54.08,72.13,59.02,55.56,45.3,21.92,23.29,53.85,37.37,46.08,52.43,41.86,37.21,60.61,40.4,34.86,37.61,37.3,26.98,
Cuyahoga, Tremont,20.51,43.59,56.52,57.58,69.81,55.56,72.09,48.84,56.82,50,42.42,36.92,56.06,43.94,34.48,34.48,38.46,36,29.17,33.33,36.59,36.59,39.34,24.59,44.29,19.72,36.67,31.15,
Cuyahoga, Union-Miles,14.05,21.77,36.05,26.55,46.9,29.46,46.88,27.34,49.24,38.64,47.57,42.16,43.18,44.32,10.71,13.76,47.06,21.3,23.26,20.93,36.13,21.19,31.82,10.23,32.16,19.3,31.98,16.28,
Cuyahoga, University,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,
Cuyahoga, West Boulevard,16.22,33.79,49.57,33.12,68.53,55.94,66.46,46.58,66.04,55.97,69.06,60.22,63.13,60,21.25,18.4,45.9,32.14,36.24,36.91,45.83,38.19,59.09,34.66,53.01,36.75,46.08,35.29,
Cuyahoga, _Unknown neighborhood,15.58,21.79,40.48,28.3,51.35,40.54,60,36,40,25,39.47,26.32,71.79,38.46,12.7,19.67,40,14.29,34.29,38.89,14.29,5,53.85,30.77,29.03,16.13,33.33,16.67,
Cuyahoga,_Suburb,29.29,37.68,60,37.61,68.69,57.58,70.54,51.79,57.32,47.56,63.33,47.78,51.28,42.31,21.21,23.85,61.54,38.55,38.52,41.94,45.98,39.08,55.45,27.72,46.25,30,35.06,23.38,