 Fairfax,13.33,13.79,,23.68,48.72,32.5,50,26.19,56.25,12.5,49.02,43.14,46.67,28.33,8.57,8.33,,17.65,54.55,42.42,33.33,15.38,43.9,31.71,44.64,35.71,43.64,23.64,2.7,10.81,,9.38,34.29,20,60,31.43,42.31,34.62,57.45,31.25,57.41,25.93,12.9,15.15,33.33,9.09,56.25,37.5,64.52,38.71,39.22,21.57,51.02,22.45,41.67,22.03,18.52,11.11,,24.24,42.11,28.95,28.21,17.5,33.96,15.09,25.49,13.73,34.62,36.54,14.71,15.15,45.24,25.64,40,33.33,51.43,42.42,56.41,35.9,46.3,60.78,50.82,42.37,53.33,58.62,58.62,50,40.63,,25,28.57,18.75,5.88,75.61,58.54,55.81,43.9,40.48,,,,,,62.07,53.57,40,43.33,30,27.27,9.09,11.11,9.52,18.18,53.33,65.96,42.55,30.43,36.17,58.73,69.84,57.14,44.44,34.38,56.06,60.94,51.52,46.15,33.33,20,40,27.27,23.33,25,25,30.43,16.67,7.14,6.67,,8.7,8.7,12.9,20
 Glenville,8.64,6.25,,19.29,44.38,30.77,43.5,28,63.76,27.98,51.98,31.75,55.85,39.47,13.25,12.12,,13.55,40.63,28.5,42.56,23.59,42.44,24.37,44.86,40.33,46.13,21.36,7.05,19.48,,18.13,58.79,41.21,55.45,33.18,51.29,46.12,51.79,24.7,53.23,29.32,8.54,14.2,38.89,19.35,47.7,29.14,55.41,34.68,50.72,24.15,55.6,34.02,52.33,31.65,14.17,14.96,25.4,27.81,20.87,23.67,27.08,18.75,33.63,10.76,37.3,18.25,32.87,30.8,9,12.43,36.41,19,51.92,41.61,45.41,39.29,48.74,45.76,50,49.56,51.03,50.36,61.24,63.46,45.45,48.57,36.28,18.42,18.75,9.43,26.23,7.59,68.42,66.84,51.31,47.12,35.68,,,,,,57.59,49.74,43,35.42,28.57,15,19.05,11.27,13.85,16.67,59.67,67.76,48.64,51.18,36.64,59.86,72.86,50.34,50,38.83,58.65,59.82,48.3,51.04,34.5,30.95,25.3,34.69,22.69,28.3,34,8.45,13.64,18.75,20,25.93,7.87,13.4,12.14,40.91
 Goodrich-Kirtland Pk,0,0,,30.77,53.85,46.15,45.45,27.27,66.67,50,55.56,42.11,71.43,52.38,13.33,20,,35.71,30,10,61.54,46.15,31.82,36.36,50,37.93,80,60,18.18,36.36,,27.27,,,35.29,52.94,62.5,56.25,68.75,68.75,50,50,15.38,38.46,20,35.71,,,76.19,33.33,72.22,61.11,71.43,42.86,61.54,69.23,13.33,6.67,,,21.43,28.57,34.78,30.43,30.77,30.77,50,50,8,16,25,31.25,38.1,47.62,41.67,54.55,47.06,52.94,55,50,46.15,56,33.33,52.94,50,46.15,66.67,66.67,43.75,,,,,,66.67,56.25,37.5,50,6.67,,,,,,,,,,,,,,,,46.15,46.15,50,42.86,21.43,57.89,68.42,63.16,31.58,15.79,55,45,75,50,35,,,,50,,,,,,,,,,,
 Hopkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Hough,6.98,11.76,,14.77,42.7,23.6,52.44,25.61,60.58,32.69,53.39,35.59,53.39,21.19,4,12.99,,17.98,58.82,36.23,46.59,26.44,43.59,30.77,42.45,39.62,44.88,22.83,6.35,7.94,,11.27,47.67,35.29,45.83,23.96,51.06,36.17,42.11,24.78,49.06,24.53,3.7,7.32,43.86,17.11,35.35,31,69.16,44.86,53.04,40,63.11,50.82,45.71,40,6.56,13.11,25.71,19.8,22.45,25.51,38.54,17.71,41.74,15.65,39.5,28.57,27.41,16.3,11.83,20,44.66,27,46.73,41.18,47.83,37.72,57.63,54.24,60,62.5,50.68,46.58,60.78,61.54,55.88,47.57,32.04,15.38,6.67,12.5,34.38,9.09,80.26,75.64,52.63,45,42.86,,,,,,57.65,57.83,48.84,40,29.89,,18.18,42.86,19.05,10.34,52.5,63.64,50,45.57,32.1,42.17,59.04,45.68,36.14,29.27,51.33,56.52,45.69,38.79,30.17,8,12.12,10,19.57,20,25,20,17.95,10.42,15.79,18.18,4.35,10.71,0,13.33
 Jefferson,32.74,30.09,38.46,31.45,58.33,46.79,62.9,43.55,75.81,63.71,74.53,50,74.19,50,21.85,27.73,40,29.57,66.41,53.03,66.4,61.6,57.84,44.12,62.6,57.25,69.23,43.08,12.82,20.18,46.67,22.58,66.19,56.43,71.96,48.6,74.42,68.99,75.2,54.4,69.53,48.41,30.4,41.27,52.56,35.78,78.63,70.69,71.43,59.52,68.37,62.24,74.22,65.63,65.93,67.41,32.77,36.97,68,46.3,49.21,46.03,54.88,43.9,54.26,39.53,54.48,50.38,50.91,32.73,32.26,53.33,73.43,66.42,64.62,59.2,78.07,72.81,69.29,68.57,66.97,71,68.7,74.59,57.89,59.65,58.26,52.21,37.93,14.29,26.32,21.05,47.37,15.38,81.58,72.32,61.06,66.96,56.64,,,,,,75.51,72.45,62.63,53.54,51,13.33,16.67,21.74,23.81,33.33,68.33,69.75,68.03,56.67,58.2,70.54,75.23,58.04,52.73,47.75,66.1,60.34,66.1,58.26,52.54,34.62,50,39.53,34.04,15.79,32,20,18.18,20.69,9.09,,11.76,20,15.38,58.62
 Kamm's,37.66,42.86,66.67,43.52,73.68,66.67,72.22,61.11,87.39,78.18,76.07,62.93,85.19,69.72,24.24,27,,52.53,79.09,62.39,66.04,66.98,68.87,56.6,68.42,76.84,69.11,57.72,24.72,38.89,40,34.55,77.57,71.96,83.33,66.67,85,80,72.95,62.81,79,64,27.93,39.64,61.97,53.49,82.98,74.47,78.15,67.8,78.57,71.43,75.19,71.43,77.6,73.6,39.29,37.35,69.23,52.63,61.54,55.56,58.25,54.37,69.84,55.56,60.83,50,62.73,50.91,37.93,57.45,75.65,73.21,68.37,66.67,82.69,80.77,82.95,81.4,71.13,81.02,72.37,73.29,66.67,61.54,58.75,58.02,44.44,33.33,33.33,27.27,25,18.75,76.06,76.06,70.42,71.01,61.11,,,,,,73.24,76.39,65.28,58.33,54.17,18.18,18.75,25,8.33,23.08,75.68,73.61,72.97,71.62,67.11,59.46,65.75,53.52,43.06,43.66,65.71,62.32,69.44,63.77,56.52,29.41,38.89,18.52,35.48,30,7.69,8.33,20,12.5,,,,27.27,28.57,42.86
 Kinsman,12.24,12.24,,8.57,52.5,21.95,57.14,35.71,68.97,41.38,44.68,25.53,60.47,37.21,9.52,4.88,,17.95,41.03,23.08,37.5,27.5,32.35,17.65,43.4,32.69,48.53,33.82,10,12.82,,18.92,43.64,30.91,32.35,23.53,63.16,37.84,49.28,38.24,43.1,27.59,8.89,8.89,54.17,20.59,60.53,36.84,52.63,45.95,58.14,62.79,39.66,44.64,47.69,29.23,3.03,6.06,29.41,18.42,18.18,11.76,31.58,28.95,29.27,19.51,25.45,31.48,32,13.73,14.71,9.23,39.22,24.49,39.22,42.55,31.71,21.95,55.56,43.4,47.69,60.94,40.26,31.94,61.22,51.06,47.92,42.86,30.61,,18.18,15.38,35.71,11.11,75,68.33,46.67,40,33.33,,,,,,60.87,64.18,54.29,41.18,33.33,,,10,33.33,22.73,52.94,58.82,46.15,32.69,22.22,53.62,63.24,48.53,33.33,26.87,38.1,47.62,30.16,30.16,22.73,40,37.5,30.3,21.21,13.64,25,18.52,12,10.34,,18.18,7.69,5.26,4.55,52.63
 Lee-Harvard,10.94,15.38,,16.9,63.38,31.94,47.3,32.43,51.22,25.61,72.31,42.42,61.86,34.02,4.76,15.63,,22.39,47.69,27.69,42.7,22.47,47.95,38.36,55,43.75,60.82,32.99,9.09,25,,17.14,58.33,50,56.34,38.89,63.86,55.42,60.24,33.73,56.84,35.79,19.64,20.34,58.54,22,64.52,51.61,61.97,38.03,43.42,27.63,59.21,47.37,42.05,26.14,20.45,6.98,42.86,29.82,36.99,28.77,36.99,17.81,30,21.43,32.89,14.47,36.23,27.54,10,21.21,63.08,30.65,59.32,53.7,63.29,46.15,57.5,51.9,48.1,52.7,47.25,49.41,71.23,69.33,58.11,59.21,44.59,,,20,,14.29,88.57,83.1,68.06,68.06,54.79,,,,,,73.56,70.24,56.47,50,42.53,38.89,25,16.67,23.33,16.67,59.21,72.37,52.56,52.5,50,62.07,76.19,54.65,46.51,40.7,59.29,73.87,52.63,54.46,37.07,30.43,28.89,22.92,23.73,46.15,54.55,33.33,15.79,20.59,18.75,25,12.5,32.35,9.09,34.29
 Lee-Seville,9.68,21.88,,30,58.33,29.17,51.52,39.39,58.7,28.26,74.36,41.03,43.18,20.45,17.39,26.09,,5,59.09,59.09,43.18,38.64,48.78,39.02,48.65,24.32,67.86,42.86,5.88,17.65,,27.78,50,48.84,61.11,33.33,48.72,30.77,61.29,38.71,52.83,28.3,4.55,8.7,55.56,20,51.52,33.33,44,24,38.46,20,65.79,48.72,52.5,32.5,9.09,8.7,37.5,17.14,33.33,25,37.93,24.14,53.66,21.95,50.98,31.37,43.18,27.27,8.82,29.03,67.65,25.81,64.29,48.15,45.45,42.42,52.38,52.38,54.84,70,76.32,55.56,74.29,79.41,60,61.76,52.78,,10,18.18,27.27,10,65.52,51.72,48.28,53.33,48.28,,,,,,76.47,80.65,65.71,52.94,33.33,,,,,20,53.85,65,40.48,42.5,26.19,57.78,70.45,44.44,39.53,39.13,52.17,64.29,52.11,47.83,35.29,27.27,29.41,31.82,21.74,50,,7.14,18.75,8,,,18.18,7.14,23.53,
 Mount Pleasant,6.9,5.68,,14.13,58.33,36.11,50.48,25.71,54.25,38.56,62.41,41.67,47.37,21.64,11.11,15.38,,19.44,54.46,31.07,41.79,23.13,37.9,23.39,37.09,28.67,48.21,30.95,9.62,9.47,,12.24,57.35,36.03,57.66,26.13,48.25,38.46,53.69,34.23,56.59,29.12,8.82,20.59,37.84,20.73,50.59,27.06,60,37.6,45.24,34.92,56.74,38.73,47.1,37.01,12.2,8.86,36,22.5,34.29,23.58,30.25,18.49,37.4,12.2,25.66,15.13,38.36,19.86,9.57,14.95,41.53,32.41,46.28,45.45,49.06,39.62,54.96,51.91,46.43,46.62,51.53,42.31,57.89,48.98,51.49,49.48,31,29.41,50,24.24,31.43,12.5,78.95,76.58,50,47.27,46.9,,,,,,67.88,69.85,59.57,45.52,41.73,39.13,26.09,21.74,15.56,15.25,59.34,61.11,48.07,51.63,40.22,58.05,73.6,47.55,38.38,33.5,51.33,60.54,46.46,42.6,30.8,24.39,30.43,22.5,23.66,32.43,30,19.64,12.07,10.39,21.43,14.29,13.04,19.57,11.84,42.59
 North Shore Collinwood,18.64,20.34,50,28.57,67.8,64.41,53.62,34.78,64.2,37.04,64.84,48.35,57.55,46.23,20,22.54,,41.82,63.24,52.94,71.64,40.3,49.38,44.44,59.8,51.96,64,38,13.33,30.23,,25.76,68.85,59.02,64.86,45.95,65.26,61.7,69.51,46.91,75.56,54.44,19.7,25.76,44.9,20,55.71,37.14,69.01,63.38,60.27,52.05,57.69,37.18,52.87,49.43,27.54,28.99,65.22,42.37,48,44,41.89,25.68,44.29,24.29,42.67,30.67,39.42,32.69,28.42,39.56,48.31,36.47,54.76,51.28,60,54.29,67.44,66.28,52.17,70.45,52.08,43.18,68.66,66.18,55.22,52.17,38.81,,15.38,28.57,17.65,4.76,83.95,79.01,63.1,63.86,54.02,,,,,,61.25,59.49,53.09,41.03,27.5,,,,,40,74.58,78.33,66.67,62.9,55,63.22,69.88,58.62,48.24,48.28,58.43,66.67,54.95,56.82,38.04,25,0,23.08,12.12,16.67,,16.67,13.33,16,6.25,,7.14,13.04,6.06,26.32
 Ohio City,5.26,10.53,,21.62,51.06,42.55,57.69,36.54,68.63,41.18,47.62,30.95,72.73,45.45,21.95,29.27,,39.58,58.14,48.84,63.27,42.86,42.86,45.24,46.81,52.17,64,36,9.09,31.82,,51.28,80,60,52.27,47.73,45.83,53.19,66.67,48.65,44.44,37.04,22,19.61,39.39,34.15,81.25,62.5,64.29,45.24,67.21,59.02,54.9,45.1,53.45,43.1,23.08,15.38,26.67,25.58,37.5,30,52.83,43.4,55.93,40.68,51.79,26.79,24.07,16.67,17.81,28.17,53.52,43.48,46.67,53.49,59.52,61.9,61.7,63.04,58.73,63.93,50.88,56.36,67.5,61.54,52.5,58.97,48.72,,,,20,18.18,61.76,55.88,52.94,44.12,38.24,,,,,,68.29,57.5,51.22,43.59,36.59,,20,,10,,55.56,55.32,63.83,46,42.55,56,64,50.98,30.77,26,57.5,65.79,51.28,57.5,48.72,20,22.73,34.78,35.71,,,9.09,10,14.29,,,,,20,31.58
 Old Brooklyn,15.49,13.29,75,30.26,73.28,56.49,74.17,57.62,77.71,67.52,82.07,62.84,80.66,65.75,21.88,25.16,,34.31,51.95,48.41,66.48,52.84,64.94,64.37,56.41,60.51,65.2,54.9,23.78,26.76,,26.9,62.23,56.61,79.01,65.43,67.39,64.67,75.24,52.2,66.67,40.63,29.05,37.41,63.64,41.84,76.12,69.4,84.52,66.67,81.16,71.01,77.11,69.28,74.23,64.95,38.1,21.09,65.45,37.69,54.49,46.5,53.73,47.01,75.32,57.14,64.25,41.9,63.86,46.04,21.97,38.46,61.74,45.07,64.97,66.89,75.56,73.13,72.5,82.5,67.52,67.53,67.46,68.32,74.84,82.35,71.34,64.05,56.41,15.38,27.27,12.9,19.35,10.53,78.77,75.56,64.67,63.69,55.19,,,,,,74.56,60,67.46,58.24,52.94,27.27,21.74,17.65,23.08,23.91,71.59,73.3,66.85,57.63,53.89,75.12,79.61,65.4,58.29,54.55,72.99,73.84,65.36,63.89,57.69,23.81,41.67,37.68,40.54,29.17,34.62,7.41,17.65,26.83,18.18,26.32,10,13.79,12.82,38.1
 St.Clair-Superior,12.82,15.79,,19.51,45.45,36.36,56.25,37.5,42.37,40.68,65.12,55.81,59.09,30.3,8.51,8.51,,32.5,47.22,36.11,29.63,24.07,45.95,35.14,30.43,24.64,50.72,23.19,9.09,12.12,,28.21,50,38.64,52.63,47.37,52.54,30.51,51.47,17.91,33.33,16.09,8.11,10.81,48.39,25,50,46.81,76,38,46.81,25.53,52.83,37.74,53.95,29.87,34.38,21.88,35.71,29.17,23.91,21.74,20,15.56,40.74,24.07,13.64,16.67,23.64,14.55,12.28,19.64,41.51,22,55.32,52.27,56.86,61.22,57.69,55.77,48.21,59.26,53.13,38.33,63.89,69.44,69.44,45.95,34.29,18.18,8.33,11.76,11.76,16.67,69.64,66.67,45.45,39.29,27.27,,,,,,59.09,60.87,44.44,42.55,31.91,0,14.29,6.25,7.14,21.74,39.29,50,34.55,27.12,15,56.98,63.95,33.33,26.44,18.89,48.48,51.52,39.44,37.14,25.35,20,25.93,23.08,23.53,15.38,9.09,15.38,0,13.04,20,20,20,12.5,9.09,27.78
 Stockyards,17.71,25.74,43.75,37,63.64,55.86,67.68,64.65,75.49,62.75,71.19,61.86,67.8,53.39,25.58,31.4,28.57,28.57,61.22,58.16,61.18,58.82,56.86,49.02,53.78,59.66,59.69,43.85,10.58,21,,29.67,71.58,59.38,73.33,48.57,67.27,66.36,67.77,54.47,58.97,50.43,24.51,38.61,56.86,40,64.13,61.96,64.04,57.3,63.27,54.08,72.13,59.02,55.56,45.3,21.92,23.29,53.85,37.37,46.08,52.43,41.86,37.21,60.61,40.4,34.86,37.61,37.3,26.98,27.42,44.63,60.83,47.75,55.91,51.14,65.91,74.71,66.02,66.67,57.14,61.11,56.64,61.31,62.11,55.21,54.17,49.45,38.95,16.13,17.14,28.21,20.45,10.42,52.48,52.04,35.64,33,29,,,,,,63.53,60.71,53.49,48.81,43.18,28,13.04,25,23.33,20.51,54.21,60,57.01,43.4,40.37,64.52,73.91,52.69,50.54,38.95,68.27,73.79,64.42,53.33,45.79,23.81,33.33,19.44,28.89,46.15,,23.53,21.05,20,10.53,,4.55,4,11.54,18.52
 Tremont,20,22,,37.5,56.41,46.15,58.33,31.25,68.97,41.38,64.52,48.39,58.11,45.95,21.88,28.13,,36.59,40.48,32.56,52,48,48,28,45.16,42.86,58.93,48.21,14.29,29.41,,14.29,60.78,50.94,63.64,47.73,50.79,44.44,58.82,44.9,63.46,30.77,20.51,43.59,56.52,57.58,69.81,55.56,72.09,48.84,56.82,50,42.42,36.92,56.06,43.94,34.48,34.48,38.46,36,29.17,33.33,36.59,36.59,39.34,24.59,44.29,19.72,36.67,31.15,9.38,25.93,56,48.98,60,64.86,64.29,50.91,40,46.67,52.94,46.94,42.86,44.93,71.74,69.77,62.22,63.64,54.55,18.75,19.05,5.88,5.26,8.7,61.7,53.19,46.81,54.17,39.58,,,,,,70.73,68.42,63.41,47.5,40,,18.18,,10,7.14,52.94,64.71,55.88,44.44,47.22,79.41,87.1,72.73,57.58,45.45,62,65.96,66,52.08,42.31,,,41.67,37.5,,,,,0,,,,,23.08,
 Union-Miles,8.41,10.19,,15.97,54.62,35.29,48.97,23.45,55.49,35.26,55.81,38.6,58.06,25.27,9.32,10.26,,29.13,38.85,27.34,45.96,33.54,46.15,30.95,40,31.67,45.54,24.53,7.75,11.02,,20.63,54.17,41.67,57.05,32.43,50,33.15,52.88,26.57,46.15,21.46,14.05,21.77,36.05,26.55,46.9,29.46,46.88,27.34,49.24,38.64,47.57,42.16,43.18,44.32,10.71,13.76,47.06,21.3,23.26,20.93,36.13,21.19,31.82,10.23,32.16,19.3,31.98,16.28,10.07,14.39,43.21,27.59,45.7,46.58,45.22,24.56,50.64,42.31,36.65,41.89,40.44,41.57,69.92,66.92,56.06,56.92,38.35,25.81,21.88,11.9,28.26,11.32,71.24,63.7,46.1,40.13,37.34,,,,,,63.43,62.21,47.49,40.12,32.22,23.68,16.22,18.64,10.53,22.99,55.25,62.44,44.74,41.55,32.42,62.44,70.53,49.32,40.47,32.72,52.8,61.62,46.76,43.31,32.29,20.83,20.25,26.37,23.21,29.82,47.17,16.67,17.33,18.87,20,32,5.71,21.25,15.53,28.13
 University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 West Boulevard,19.85,23.53,37.5,32.39,68.86,49.1,68.02,46.51,75.58,52.91,63.13,44.95,69.63,56.54,18.01,25.79,42.86,35.63,60.49,54.94,61.08,54.49,55.03,44.39,57.56,53.8,59.63,45.96,14.1,22.15,27.27,29.49,66.89,60.93,63.22,52.57,67.26,60.71,73.58,54.09,67.69,54.12,16.22,33.79,49.57,33.12,68.53,55.94,66.46,46.58,66.04,55.97,69.06,60.22,63.13,60,21.25,18.4,45.9,32.14,36.24,36.91,45.83,38.19,59.09,34.66,53.01,36.75,46.08,35.29,23.12,36.65,59.87,43.54,55.83,62,58.33,52.27,67.72,65.61,58.99,66.86,54.65,62.8,61.59,60.76,57.23,51.23,42.59,20,25,13.51,23.91,9.43,65.64,67.08,56.1,51.55,45.78,,,,,,64.19,62.16,59.6,52.05,52.03,25,13.79,16.67,17.07,23.21,66.85,68.89,55.25,51.91,46.7,65.64,73.29,52.15,44.51,40.99,55.17,56.14,50,48.28,41.11,19.35,27.59,23.81,21.43,26.47,29.73,17.39,15.56,13.11,7.14,24,13.51,22.22,11.54,26.67
 _Unknown neighborhood,9.84,11.29,,28.07,52.94,41.18,60,24,,,53.33,40,22.73,18.18,18.18,17.54,,31.11,50,40.54,23.53,17.65,50,30,51.72,35.71,66.67,40,8.51,16.67,,16.33,54.9,34.62,62.5,37.5,50,35.71,66.67,29.17,60,32,15.58,21.79,40.48,28.3,51.35,40.54,60,36,40,25,39.47,26.32,71.79,38.46,12.7,19.67,40,14.29,34.29,38.89,14.29,5,53.85,30.77,29.03,16.13,33.33,16.67,11.39,18.67,48.89,31.03,39.22,37.21,37.5,25,50,55,52.78,42.86,48.94,27.5,55.56,50,44.68,52.17,30.43,28.57,33.33,23.08,33.33,4.55,61.54,64.86,48.65,48.65,43.59,,,,,,59.09,50,36.36,22.73,17.39,,,,,0,61.54,69.23,50,57.14,42.86,58.62,70.37,45.16,50,39.29,52,54.55,39.13,39.13,33.33,,,,16.67,,,9.09,,0,,,,,,
_Suburb,21.57,29.41,50,39.64,65.66,44.44,55,45,67.07,41.46,57.14,42.86,58.11,41.89,23.13,27.21,,32.18,58.68,47.93,48.96,37.89,56.7,43.3,49.21,47.62,56.67,31.11,8.53,20.33,,28.42,65.63,48.06,63,45.92,60.49,46.25,61.05,36.84,62.5,38.64,29.29,37.68,60,37.61,68.69,57.58,70.54,51.79,57.32,47.56,63.33,47.78,51.28,42.31,21.21,23.85,61.54,38.55,38.52,41.94,45.98,39.08,55.45,27.72,46.25,30,35.06,23.38,31.82,39.26,57.36,52.54,64.23,59.09,71.26,67.82,60,52.38,55.32,65.06,55.36,54.64,78.33,78.21,70,69.66,57.06,36.84,34.78,25.93,28.57,13.95,80,71.18,60.92,60.36,54.12,,,,,,66.88,64.47,60.26,50.97,45.91,35,19.05,20.59,34.29,24.44,75.18,75,59.18,55.33,53.25,72.61,78.71,64.52,55.77,49.35,61.19,66.41,57.78,50.75,41.35,47.62,30.77,39.13,28.57,17.39,21.05,17.14,17.95,18.87,0,36.36,16.13,20.83,8.82,51.85